CODE,EOU1,EOU2,EOU3,EOU4,PU1,PU2,PU3,PU4,FC1,FC2,FC3,FC4,CC1,CC2,CC3,CC4,CD1,CD2,CD3,CD4,LC1,LC2,LC3,LC4,SP1,SP2,SP3,SP4,Gender,Year of school
138,2,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,2,2,3,3,3,Female,Second year
139,3,3,3,3,2,2,3,2,5,4,3,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,Male,Second year
140,3,4,3,3,3,2,3,3,3,2,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,4,Male,Second year
141,4,4,3,4,2,3,4,4,3,2,3,3,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,3,Male,First year
142,4,4,3,4,4,3,3,4,3,2,3,3,2,3,3,3,2,2,3,2,3,3,3,3,4,4,3,2,Female,Fourth year
143,3,4,4,4,3,3,3,3,4,4,4,5,4,4,5,4,3,3,4,3,4,4,5,5,4,4,4,3,Male,First year
144,3,1,2,3,2,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,Female,First year
145,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,Male,Third year
146,4,4,3,4,3,3,3,4,5,3,4,4,4,4,4,3,2,2,2,2,3,4,4,4,3,4,4,3,Male,First year
147,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,2,Male,Second year
148,3,2,3,3,2,1,3,2,3,3,4,4,3,3,2,2,3,4,3,3,1,2,2,2,1,2,2,2,Female,Third year
149,5,5,4,4,3,2,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,Female,Fourth year
150,3,3,3,2,3,3,3,4,3,2,3,3,3,4,4,3,5,4,4,3,3,4,3,3,3,4,3,4,Female,Second year
151,3,4,4,3,3,3,3,3,5,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,Female,Second year
152,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,Female,Fourth year
153,4,4,4,4,2,4,4,4,4,3,4,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,Male,Third year
154,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,2,1,2,Female,Second year
155,3,4,3,4,2,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,Female,Third year
156,3,4,3,3,3,3,3,4,3,2,2,3,2,3,2,2,4,4,3,4,4,4,4,4,4,4,5,3,Male,Second year
157,3,5,4,4,3,2,3,4,3,2,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,5,3,4,Male,Fourth year
158,4,3,4,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,Female,Third year
159,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,Male,Third year
160,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,2,4,4,3,2,2,3,2,2,2,2,3,3,Female,Third year
161,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,Female,Second year
162,3,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,Male,Fourth year
163,3,3,3,3,2,3,3,4,3,3,3,4,4,3,3,3,5,3,4,2,3,4,3,3,4,3,4,4,Male,Second year
164,4,4,4,4,3,2,3,2,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,Male,Second year
165,4,4,4,4,4,4,5,4,5,3,5,3,4,4,3,4,4,4,4,4,5,5,5,5,3,4,4,4,Male,Third year
166,3,2,2,3,2,3,3,2,2,2,3,3,3,4,3,3,4,5,4,4,3,2,3,3,3,2,3,3,Male,First year
167,3,3,3,4,2,3,4,4,3,3,4,4,3,2,2,2,3,4,4,3,3,3,4,3,3,4,3,3,Male,Second year
168,2,2,2,3,3,2,3,3,1,2,2,2,4,3,4,3,4,4,4,4,2,3,2,2,3,3,3,4,Male,Third year
169,4,3,3,3,2,3,3,2,4,3,3,4,3,4,4,3,3,4,3,3,4,3,4,4,3,3,3,3,Female,First year
170,4,3,3,4,2,2,3,3,3,3,3,3,3,2,2,2,3,4,4,3,4,3,3,4,3,3,4,3,Male,Third year
171,3,2,3,3,3,3,3,4,3,3,3,3,2,2,3,2,3,3,3,3,4,3,3,4,3,3,3,2,Female,Third year
172,2,3,3,3,4,3,3,3,2,1,2,3,3,4,3,2,3,3,4,3,4,3,3,4,2,2,2,3,Female,Fourth year
173,4,5,4,4,3,2,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,Female,Third year
174,2,3,3,3,3,3,4,4,4,3,3,4,2,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,Female,First year
175,4,4,3,3,3,3,4,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,Male,Third year
176,4,4,3,4,3,3,3,3,4,4,4,4,3,3,2,2,3,4,3,3,4,4,4,4,3,3,3,3,Female,Third year
177,3,3,4,4,3,3,4,4,2,1,1,2,3,4,4,3,4,3,3,4,3,4,4,3,4,4,3,3,Male,Third year
178,4,4,3,3,4,4,5,4,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,Female,Fourth year
179,4,3,4,4,3,3,4,4,3,3,3,4,4,4,4,3,4,4,4,4,5,4,4,5,5,4,4,3,Female,Second year
180,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,Male,Second year
181,4,3,3,3,4,4,5,5,4,3,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,Male,First year
182,5,4,4,4,2,3,3,3,3,2,3,4,3,3,3,3,4,4,4,4,3,4,4,3,4,3,3,4,Male,Fourth year
183,3,2,3,3,3,3,3,4,3,3,3,3,3,4,2,4,3,3,4,3,3,3,3,3,3,2,3,4,Female,Second year
184,5,4,3,5,3,3,3,4,5,4,5,4,3,4,3,5,4,4,4,4,3,3,4,3,4,3,4,4,Female,First year
185,3,3,3,3,2,3,3,3,4,2,3,3,4,4,3,4,4,3,4,4,2,3,2,2,4,4,4,3,Male,Second year
186,3,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,2,4,4,4,5,4,5,5,4,3,4,5,Female,Second year
187,4,4,3,5,3,4,5,4,4,3,3,3,4,3,4,3,4,4,4,4,4,3,3,4,4,5,4,4,Male,Second year
