CODE,EOU1,EOU2,EOU3,EOU4,PU1,PU2,PU3,PU4,FC1,FC2,FC3,FC4,CC1,CC2,CC3,CC4,CD1,CD2,CD3,CD4,LC1,LC2,LC3,LC4,SP1,SP2,SP3,SP4,Gender,Year of school
287,4,3,3,3,3,4,4,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,Male,First year
288,4,4,5,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,5,4,4,3,4,4,4,5,5,4,Female,Fourth year
289,3,4,3,3,3,3,3,3,3,3,3,3,5,4,3,4,4,3,4,4,3,3,4,4,3,4,3,3,Female,Fourth year
290,4,3,3,3,2,3,3,3,3,2,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,4,3,3,Male,First year
291,3,3,3,3,3,3,3,3,3,2,3,2,3,4,4,4,3,3,3,3,3,2,2,2,3,3,4,3,Male,Fourth year
292,3,3,3,4,1,1,3,2,4,3,4,4,2,3,3,3,1,2,1,1,3,3,3,3,3,2,3,2,Female,Third year
293,3,3,3,3,4,3,4,4,1,2,2,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,Female,Third year
294,2,3,3,3,3,3,4,3,4,2,3,3,2,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,Female,Fourth year
295,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,4,5,4,4,2,2,3,3,3,3,2,3,Male,Second year
296,3,2,2,2,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3,4,3,3,3,3,4,3,4,4,Male,Fourth year
297,3,3,4,2,2,2,3,3,3,3,3,3,2,2,3,3,4,4,5,4,3,3,4,4,3,3,3,3,Male,Second year
298,3,3,3,2,3,3,4,4,4,3,3,3,4,3,3,2,4,3,3,4,3,3,3,3,3,2,3,4,Male,First year
299,5,5,4,5,3,4,4,4,4,3,5,3,4,2,3,3,4,4,3,4,4,5,4,4,4,4,4,4,Female,Third year
300,2,3,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,4,4,3,4,5,4,4,3,4,3,3,Male,Fourth year
301,2,2,2,1,2,2,3,3,4,2,3,4,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,Female,Fourth year
302,2,3,3,2,3,2,3,3,4,3,3,3,4,3,4,4,3,2,3,3,3,4,3,3,2,3,3,3,Female,Fourth year
303,3,3,3,4,2,3,3,3,3,2,3,2,4,3,4,3,2,4,4,5,2,2,3,3,2,3,3,2,Male,Fourth year
304,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,3,4,3,3,4,2,2,2,2,2,2,3,2,Female,Second year
305,4,3,4,3,3,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,Male,Second year
306,4,4,5,4,3,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,3,4,3,3,3,3,4,4,Male,Third year
307,3,4,3,3,4,3,4,3,3,2,3,3,4,4,3,4,2,2,2,2,3,3,4,4,3,2,3,2,Female,Second year
308,2,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,2,2,3,3,3,Male,Second year
309,3,3,3,3,2,2,3,2,5,4,3,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,Male,Second year
310,3,4,3,3,3,2,3,3,3,2,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,4,Female,Fourth year
311,4,4,3,4,2,3,4,4,3,2,3,3,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,3,Female,First year
312,4,4,3,4,4,3,3,4,3,2,3,3,2,3,3,3,2,2,3,2,3,3,3,3,4,4,3,2,Male,First year
313,3,4,4,4,3,3,3,3,4,4,4,5,4,4,5,4,3,3,4,3,4,4,5,5,4,4,4,3,Female,Fourth year
314,3,1,2,3,2,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,Female,Third year
315,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,Male,Fourth year
316,4,4,3,4,3,3,3,4,5,3,4,4,4,4,4,3,2,2,2,2,3,4,4,4,3,4,4,3,Female,Fourth year
317,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,2,Male,First year
318,3,2,3,3,2,1,3,2,3,3,4,4,3,3,2,2,3,4,3,3,1,2,2,2,1,2,2,2,Female,First year
319,5,5,4,4,3,2,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,Male,Third year
320,3,3,3,2,3,3,3,4,3,2,3,3,3,4,4,3,5,4,4,3,3,4,3,3,3,4,3,4,Female,Third year
321,3,4,4,3,3,3,3,3,5,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,Female,First year
322,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,Male,Third year
323,4,4,4,4,2,4,4,4,4,3,4,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,Female,Second year
324,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,2,1,2,Male,Second year
325,3,4,3,4,2,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,Male,Third year
326,3,4,3,3,3,3,3,4,3,2,2,3,2,3,2,2,4,4,3,4,4,4,4,4,4,4,5,3,Male,Third year
327,3,5,4,4,3,2,3,4,3,2,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,5,3,4,Female,Fourth year
328,4,3,4,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,Male,Second year
329,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,Male,First year
330,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,2,4,4,3,2,2,3,2,2,2,2,3,3,Female,Second year
331,2,3,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,4,4,3,4,5,4,4,3,4,3,3,Female,Fourth year
332,2,2,2,1,2,2,3,3,4,2,3,4,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,Male,Fourth year
333,2,3,3,2,3,2,3,3,4,3,3,3,4,3,4,4,3,2,3,3,3,4,3,3,2,3,3,3,Female,Fourth year
334,3,3,3,4,2,3,3,3,3,2,3,2,4,3,4,3,2,4,4,5,2,2,3,3,2,3,3,2,Male,Third year
335,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,3,4,3,3,4,2,2,2,2,2,2,3,2,Male,Second year
336,4,3,4,3,3,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,Male,Third year
337,4,4,5,4,3,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,3,4,3,3,3,3,4,4,Female,Second year
338,3,4,3,3,4,3,4,3,3,2,3,3,4,4,3,4,2,2,2,2,3,3,4,4,3,2,3,2,Male,Third year
339,2,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,2,2,3,3,3,Female,Third year
340,3,3,3,3,2,2,3,2,5,4,3,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,Male,Fourth year
341,3,4,3,3,3,2,3,3,3,2,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,4,Female,First year
342,4,4,3,4,2,3,4,4,3,2,3,3,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,3,Male,Second year
343,4,4,3,4,4,3,3,4,3,2,3,3,2,3,3,3,2,2,3,2,3,3,3,3,4,4,3,2,Male,Third year
344,3,4,4,4,3,3,3,3,4,4,4,5,4,4,5,4,3,3,4,3,4,4,5,5,4,4,4,3,Female,Third year
345,3,1,2,3,2,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,Female,Fourth year
346,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,Female,First year
347,4,4,3,4,3,3,3,4,5,3,4,4,4,4,4,3,2,2,2,2,3,4,4,4,3,4,4,3,Male,Second year
348,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,2,Female,Third year
349,3,2,3,3,2,1,3,2,3,3,4,4,3,3,2,2,3,4,3,3,1,2,2,2,1,2,2,2,Male,Second year
350,5,5,4,4,3,2,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,Male,Fourth year
351,3,3,3,2,3,3,3,4,3,2,3,3,3,4,4,3,5,4,4,3,3,4,3,3,3,4,3,4,Female,Third year
352,3,4,4,3,3,3,3,3,5,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,Male,Fourth year
353,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,Female,Fourth year
354,4,4,4,4,2,4,4,4,4,3,4,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,Male,Fourth year
355,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,2,1,2,Female,First year
356,3,4,3,4,2,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,Male,Third year
357,3,4,3,3,3,3,3,4,3,2,2,3,2,3,2,2,4,4,3,4,4,4,4,4,4,4,5,3,Female,First year
358,3,5,4,4,3,2,3,4,3,2,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,5,3,4,Female,Second year
359,4,3,4,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,Male,Fourth year
360,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,Male,First year
361,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,2,4,4,3,2,2,3,2,2,2,2,3,3,Female,Second year
362,2,3,3,2,3,2,3,3,4,3,3,3,4,3,4,4,3,2,3,3,3,4,3,3,2,3,3,3,Male,First year
363,3,3,3,4,2,3,3,3,3,2,3,2,4,3,4,3,2,4,4,5,2,2,3,3,2,3,3,2,Male,Second year
364,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,3,4,3,3,4,2,2,2,2,2,2,3,2,Female,Fourth year
365,4,3,4,3,3,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,Female,Second year
366,4,4,5,4,3,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,3,4,3,3,3,3,4,4,Male,Second year
367,3,4,3,3,4,3,4,3,3,2,3,3,4,4,3,4,2,2,2,2,3,3,4,4,3,2,3,2,Female,Second year
368,2,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,2,2,3,3,3,Male,Third year
369,3,3,3,3,2,2,3,2,5,4,3,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,Male,Fourth year
370,3,4,3,3,3,2,3,3,3,2,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,4,Male,Fourth year
371,4,4,3,4,2,3,4,4,3,2,3,3,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,3,Male,Third year
372,4,4,3,4,4,3,3,4,3,2,3,3,2,3,3,3,2,2,3,2,3,3,3,3,4,4,3,2,Male,Fourth year
373,3,4,4,4,3,3,3,3,4,4,4,5,4,4,5,4,3,3,4,3,4,4,5,5,4,4,4,3,Female,Fourth year
374,3,1,2,3,2,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,Female,Fourth year
375,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,Male,Third year
376,4,4,3,4,3,3,3,4,5,3,4,4,4,4,4,3,2,2,2,2,3,4,4,4,3,4,4,3,Male,Second year
377,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,2,Female,Third year
378,3,2,3,3,2,1,3,2,3,3,4,4,3,3,2,2,3,4,3,3,1,2,2,2,1,2,2,2,Female,Third year
379,5,5,4,4,3,2,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,Male,First year
380,3,3,3,2,3,3,3,4,3,2,3,3,3,4,4,3,5,4,4,3,3,4,3,3,3,4,3,4,Male,First year
381,3,4,4,3,3,3,3,3,5,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,Female,First year
382,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,Female,Second year
383,4,4,4,4,2,4,4,4,4,3,4,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,Female,Fourth year
384,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,2,1,2,Male,First year
385,3,4,3,4,2,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,Female,Third year
386,3,4,3,3,3,3,3,4,3,2,2,3,2,3,2,2,4,4,3,4,4,4,4,4,4,4,5,3,Male,Fourth year
387,3,5,4,4,3,2,3,4,3,2,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,5,3,4,Male,Third year
388,4,3,4,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,Male,Fourth year
389,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,Male,Third year
390,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,2,4,4,3,2,2,3,2,2,2,2,3,3,Male,Fourth year
391,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,Male,Second year
392,3,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,Female,Fourth year
393,3,3,3,3,2,3,3,4,3,3,3,4,4,3,3,3,5,3,4,2,3,4,3,3,4,3,4,4,Female,First year
394,4,4,4,4,3,2,3,2,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,Female,Fourth year
395,4,4,4,4,4,4,5,4,5,3,5,3,4,4,3,4,4,4,4,4,5,5,5,5,3,4,4,4,Female,Third year
396,3,2,2,3,2,3,3,2,2,2,3,3,3,4,3,3,4,5,4,4,3,2,3,3,3,2,3,3,Female,First year
397,3,3,3,4,2,3,4,4,3,3,4,4,3,2,2,2,3,4,4,3,3,3,4,3,3,4,3,3,Male,Second year
398,2,2,2,3,3,2,3,3,1,2,2,2,4,3,4,3,4,4,4,4,2,3,2,2,3,3,3,4,Female,Third year
399,4,3,3,3,2,3,3,2,4,3,3,4,3,4,4,3,3,4,3,3,4,3,4,4,3,3,3,3,Male,First year
400,4,3,3,4,2,2,3,3,3,3,3,3,3,2,2,2,3,4,4,3,4,3,3,4,3,3,4,3,Male,Third year
401,3,2,3,3,3,3,3,4,3,3,3,3,2,2,3,2,3,3,3,3,4,3,3,4,3,3,3,2,Female,Fourth year
402,2,3,3,3,4,3,3,3,2,1,2,3,3,4,3,2,3,3,4,3,4,3,3,4,2,2,2,3,Male,Second year
403,4,5,4,4,3,2,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,Male,Fourth year
404,2,3,3,3,3,3,4,4,4,3,3,4,2,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,Female,Second year
